grid_lat,grid_lon,hour,day_of_week,crash_count,avg_severity,total_injured,total_killed
10175,-18503,19,4,3,0.3333333333333333,1.0,0.0
10175,-18503,19,5,3,0.0,0.0,0.0
10175,-18503,19,6,3,0.3333333333333333,1.0,0.0
10175,-18503,20,0,1,0.0,0.0,0.0
10175,-18503,20,1,1,0.0,0.0,0.0
10175,-18503,20,2,2,0.0,0.0,0.0
10175,-18503,20,4,1,1.0,1.0,0.0
10175,-18503,20,6,1,0.0,0.0,0.0
10175,-18503,21,0,2,0.5,1.0,0.0
10175,-18503,21,1,2,0.0,0.0,0.0
10175,-18503,21,2,1,1.0,1.0,0.0
10175,-18503,21,3,3,0.6666666666666666,2.0,0.0
10175,-18503,21,5,1,0.0,0.0,0.0
10175,-18503,22,0,2,0.5,1.0,0.0
10175,-18503,22,1,1,0.0,0.0,0.0
10175,-18503,22,2,2,0.5,1.0,0.0
10175,-18503,22,3,1,0.0,0.0,0.0
10175,-18503,22,4,4,0.75,3.0,0.0
10175,-18503,22,5,1,0.0,0.0,0.0
10175,-18503,23,0,1,0.0,0.0,0.0
10175,-18503,23,1,1,0.0,0.0,0.0
10175,-18503,23,2,1,0.0,0.0,0.0
10175,-18503,23,3,2,0.5,1.0,0.0
10175,-18503,23,5,3,0.0,0.0,0.0
10175,-18503,23,6,1,3.0,3.0,0.0
10175,-18502,0,2,3,0.3333333333333333,1.0,0.0
10175,-18502,0,3,2,0.5,1.0,0.0
10175,-18502,0,4,2,0.0,0.0,0.0
10175,-18502,0,5,2,0.5,1.0,0.0
10175,-18502,0,6,1,0.0,0.0,0.0
10175,-18502,1,0,1,0.0,0.0,0.0
10175,-18502,1,4,3,0.3333333333333333,1.0,0.0
10175,-18502,1,5,1,0.0,0.0,0.0
10175,-18502,1,6,2,0.0,0.0,0.0
10175,-18502,2,2,1,0.0,0.0,0.0
10175,-18502,2,6,1,0.0,0.0,0.0
10175,-18502,4,2,1,1.0,1.0,0.0
10175,-18502,4,6,1,1.0,1.0,0.0
10175,-18502,5,2,1,0.0,0.0,0.0
10175,-18502,6,0,1,0.0,0.0,0.0
10175,-18502,6,2,2,0.0,0.0,0.0
10175,-18502,6,5,1,0.0,0.0,0.0
10175,-18502,7,0,3,0.0,0.0,0.0
10175,-18502,7,2,4,0.75,3.0,0.0
10175,-18502,7,3,2,0.0,0.0,0.0
10175,-18502,7,4,3,0.0,0.0,0.0
10175,-18502,7,6,1,2.0,2.0,0.0
10175,-18502,8,0,2,0.5,1.0,0.0
10175,-18502,8,1,4,0.0,0.0,0.0
10175,-18502,8,2,7,0.2857142857142857,2.0,0.0
10175,-18502,8,3,3,0.0,0.0,0.0
10175,-18502,8,4,7,0.14285714285714285,1.0,0.0
10175,-18502,8,5,1,1.0,1.0,0.0
10175,-18502,8,6,1,0.0,0.0,0.0
10175,-18502,9,0,4,0.0,0.0,0.0
10175,-18502,9,1,7,0.14285714285714285,1.0,0.0
10175,-18502,9,2,2,0.0,0.0,0.0
10175,-18502,9,3,13,0.07692307692307693,1.0,0.0
10175,-18502,9,4,5,0.0,0.0,0.0
10175,-18502,9,5,2,0.0,0.0,0.0
10175,-18502,10,0,6,0.0,0.0,0.0
10175,-18502,10,1,7,0.0,0.0,0.0
10175,-18502,10,2,8,0.125,1.0,0.0
10175,-18502,10,3,5,0.0,0.0,0.0
10175,-18502,10,4,4,0.25,1.0,0.0
10175,-18502,10,5,2,0.5,1.0,0.0
10175,-18502,10,6,3,0.3333333333333333,1.0,0.0
10175,-18502,11,0,2,0.0,0.0,0.0
10175,-18502,11,1,3,0.0,0.0,0.0
10175,-18502,11,2,2,0.0,0.0,0.0
10175,-18502,11,3,7,0.0,0.0,0.0
10175,-18502,11,4,9,0.0,0.0,0.0
10175,-18502,11,5,1,0.0,0.0,0.0
10175,-18502,12,0,6,0.3333333333333333,2.0,0.0
10175,-18502,12,1,4,0.5,2.0,0.0
10175,-18502,12,2,6,0.16666666666666666,1.0,0.0
10175,-18502,12,3,3,0.0,0.0,0.0
10175,-18502,12,4,4,0.25,1.0,0.0
10175,-18502,12,5,1,1.0,1.0,0.0
10175,-18502,12,6,2,0.0,0.0,0.0
10175,-18502,13,1,5,0.0,0.0,0.0
10175,-18502,13,2,6,0.3333333333333333,2.0,0.0
10175,-18502,13,3,6,0.3333333333333333,2.0,0.0
10175,-18502,13,4,7,0.0,0.0,0.0
10175,-18502,13,5,1,0.0,0.0,0.0
10175,-18502,14,0,4,0.0,0.0,0.0
10175,-18502,14,1,8,0.125,1.0,0.0
10175,-18502,14,2,6,0.0,0.0,0.0
10175,-18502,14,3,5,0.0,0.0,0.0
10175,-18502,14,4,4,0.0,0.0,0.0
10175,-18502,14,5,3,0.0,0.0,0.0
10175,-18502,14,6,2,0.5,1.0,0.0
10175,-18502,15,0,9,0.1111111111111111,1.0,0.0
10175,-18502,15,1,5,0.4,2.0,0.0
10175,-18502,15,2,5,0.0,0.0,0.0
10175,-18502,15,3,6,0.3333333333333333,2.0,0.0
10175,-18502,15,4,1,0.0,0.0,0.0
10175,-18502,15,5,5,0.0,0.0,0.0
10175,-18502,15,6,3,0.0,0.0,0.0
10175,-18502,16,0,8,0.0,0.0,0.0
10175,-18502,16,1,6,0.0,0.0,0.0
10175,-18502,16,2,3,0.0,0.0,0.0
10175,-18502,16,3,2,1.0,2.0,0.0
10175,-18502,16,5,8,0.25,2.0,0.0
10175,-18502,16,6,1,0.0,0.0,0.0
10175,-18502,17,0,5,0.4,2.0,0.0
10175,-18502,17,1,3,0.0,0.0,0.0
10175,-18502,17,2,3,0.0,0.0,0.0
10175,-18502,17,3,6,0.0,0.0,0.0
10175,-18502,17,4,1,0.0,0.0,0.0
10175,-18502,17,5,1,0.0,0.0,0.0
10175,-18502,17,6,1,0.0,0.0,0.0
10175,-18502,18,0,3,0.3333333333333333,1.0,0.0
10175,-18502,18,1,1,0.0,0.0,0.0
10175,-18502,18,2,5,0.0,0.0,0.0
10175,-18502,18,3,6,0.16666666666666666,1.0,0.0
10175,-18502,18,4,6,0.3333333333333333,2.0,0.0
10175,-18502,18,5,3,0.0,0.0,0.0
10175,-18502,18,6,2,0.5,1.0,0.0
10175,-18502,19,0,2,0.0,0.0,0.0
10175,-18502,19,1,3,0.6666666666666666,2.0,0.0
10175,-18502,19,2,2,0.5,1.0,0.0
10175,-18502,19,3,3,0.6666666666666666,2.0,0.0
10175,-18502,19,4,4,0.25,1.0,0.0
10175,-18502,19,5,1,0.0,0.0,0.0
10175,-18502,19,6,2,0.0,0.0,0.0
10175,-18502,20,0,2,0.5,1.0,0.0
10175,-18502,20,1,2,0.0,0.0,0.0
10175,-18502,20,2,2,0.0,0.0,0.0
10175,-18502,20,3,2,0.0,0.0,0.0
10175,-18502,20,4,1,0.0,0.0,0.0
10175,-18502,20,5,2,0.5,1.0,0.0
10175,-18502,20,6,1,3.0,3.0,0.0
10175,-18502,21,0,1,0.0,0.0,0.0
10175,-18502,21,1,6,0.6666666666666666,4.0,0.0
10175,-18502,21,2,4,0.0,0.0,0.0
10175,-18502,21,3,3,0.0,0.0,0.0
10175,-18502,21,4,2,0.0,0.0,0.0
10175,-18502,21,5,1,0.0,0.0,0.0
10175,-18502,22,0,3,0.0,0.0,0.0
10175,-18502,22,3,2,0.0,0.0,0.0
10175,-18502,22,4,2,0.0,0.0,0.0
10175,-18502,22,5,1,0.0,0.0,0.0
10175,-18502,23,0,2,0.5,1.0,0.0
10175,-18502,23,1,4,0.25,1.0,0.0
10175,-18502,23,2,1,1.0,1.0,0.0
10175,-18502,23,4,2,0.0,0.0,0.0
10175,-18502,23,5,1,0.0,0.0,0.0
10175,-18501,6,5,1,0.0,0.0,0.0
10175,-18501,7,3,1,0.0,0.0,0.0
10175,-18501,9,1,1,1.0,1.0,0.0
10175,-18501,9,4,1,0.0,0.0,0.0
10175,-18501,10,1,1,0.0,0.0,0.0
10175,-18501,10,2,1,0.0,0.0,0.0
10175,-18501,10,4,1,0.0,0.0,0.0
10175,-18501,11,4,1,0.0,0.0,0.0
10175,-18501,12,0,1,0.0,0.0,0.0
10175,-18501,13,0,1,0.0,0.0,0.0
10175,-18501,13,3,1,0.0,0.0,0.0
10175,-18501,14,1,1,0.0,0.0,0.0
10175,-18501,16,1,1,0.0,0.0,0.0
10175,-18501,16,4,1,0.0,0.0,0.0
10175,-18501,16,6,1,0.0,0.0,0.0
10175,-18501,18,1,1,0.0,0.0,0.0
10175,-18501,20,5,1,0.0,0.0,0.0
10175,-18501,22,5,1,0.0,0.0,0.0
10175,-18490,9,0,1,0.0,0.0,0.0
10175,-18490,9,3,1,0.0,0.0,0.0
10175,-18484,0,0,1,0.0,0.0,0.0
10175,-18482,21,6,1,1.0,1.0,0.0
10176,-18504,0,1,2,0.5,1.0,0.0
10176,-18504,0,2,4,0.0,0.0,0.0
10176,-18504,0,3,3,0.0,0.0,0.0
10176,-18504,0,4,6,0.0,0.0,0.0
10176,-18504,0,5,2,0.5,1.0,0.0
10176,-18504,0,6,7,0.0,0.0,0.0
10176,-18504,1,0,2,0.0,0.0,0.0
10176,-18504,1,1,2,0.0,0.0,0.0
10176,-18504,1,2,1,0.0,0.0,0.0
10176,-18504,1,3,2,0.0,0.0,0.0
10176,-18504,1,4,3,0.6666666666666666,2.0,0.0
10176,-18504,1,5,3,0.0,0.0,0.0
10176,-18504,1,6,3,0.3333333333333333,1.0,0.0
10176,-18504,2,1,1,0.0,0.0,0.0
10176,-18504,2,4,1,0.0,0.0,0.0
10176,-18504,2,6,4,0.25,1.0,0.0
10176,-18504,3,0,1,0.0,0.0,0.0
10176,-18504,3,4,2,0.5,1.0,0.0
10176,-18504,3,5,2,1.0,2.0,0.0
10176,-18504,3,6,4,0.5,2.0,0.0
10176,-18504,4,0,2,0.0,0.0,0.0
10176,-18504,4,1,1,2.0,2.0,0.0
10176,-18504,4,2,1,0.0,0.0,0.0
10176,-18504,4,5,1,0.0,0.0,0.0
10176,-18504,4,6,3,0.6666666666666666,2.0,0.0
10176,-18504,5,3,1,0.0,0.0,0.0
10176,-18504,5,5,1,0.0,0.0,0.0
10176,-18504,6,0,4,0.0,0.0,0.0
10176,-18504,6,1,1,1.0,1.0,0.0
10176,-18504,6,2,2,0.0,0.0,0.0
10176,-18504,6,3,1,0.0,0.0,0.0
10176,-18504,6,4,1,0.0,0.0,0.0
10176,-18504,6,6,1,0.0,0.0,0.0
10176,-18504,7,0,2,0.0,0.0,0.0
10176,-18504,7,1,3,0.0,0.0,0.0
10176,-18504,7,2,5,0.2,1.0,0.0
10176,-18504,7,3,1,0.0,0.0,0.0
10176,-18504,7,4,2,0.0,0.0,0.0
10176,-18504,7,5,1,1.0,1.0,0.0
10176,-18504,8,0,3,0.0,0.0,0.0
10176,-18504,8,1,3,0.0,0.0,0.0
10176,-18504,8,2,4,0.5,2.0,0.0
10176,-18504,8,3,3,0.3333333333333333,1.0,0.0
10176,-18504,8,4,4,0.0,0.0,0.0
10176,-18504,8,5,2,0.5,1.0,0.0
10176,-18504,8,6,2,0.0,0.0,0.0
10176,-18504,9,0,10,0.1,1.0,0.0
10176,-18504,9,1,19,0.05263157894736842,1.0,0.0
10176,-18504,9,2,9,0.0,0.0,0.0
10176,-18504,9,3,7,0.0,0.0,0.0
10176,-18504,9,4,9,0.0,0.0,0.0
10176,-18504,9,5,2,0.0,0.0,0.0
10176,-18504,10,0,8,0.0,0.0,0.0
10176,-18504,10,1,5,0.0,0.0,0.0
10176,-18504,10,2,5,0.0,0.0,0.0
10176,-18504,10,3,8,0.0,0.0,0.0
10176,-18504,10,4,6,0.0,0.0,0.0
10176,-18504,10,6,5,0.6,3.0,0.0
10176,-18504,11,0,5,0.0,0.0,0.0
10176,-18504,11,1,11,0.36363636363636365,4.0,0.0
10176,-18504,11,2,4,0.0,0.0,0.0
10176,-18504,11,3,7,0.0,0.0,0.0
10176,-18504,11,4,3,0.0,0.0,0.0
10176,-18504,11,5,4,0.25,1.0,0.0
10176,-18504,11,6,3,0.0,0.0,0.0
10176,-18504,12,0,7,0.0,0.0,0.0
10176,-18504,12,1,3,0.0,0.0,0.0
10176,-18504,12,2,3,0.0,0.0,0.0
10176,-18504,12,3,4,0.0,0.0,0.0
10176,-18504,12,4,1,1.0,1.0,0.0
10176,-18504,12,5,6,0.16666666666666666,1.0,0.0
10176,-18504,12,6,5,0.0,0.0,0.0
10176,-18504,13,0,6,0.0,0.0,0.0
10176,-18504,13,1,6,0.0,0.0,0.0
10176,-18504,13,2,7,0.14285714285714285,1.0,0.0
10176,-18504,13,3,6,0.0,0.0,0.0
10176,-18504,13,4,6,0.0,0.0,0.0
