incident_type,creation_date,closed_date,latitude,longitude,borough
HazMat-High Carbon Monoxide,2016-03-07T17:48:14.000,2016-03-07T19:12:25.000,40.763638409120986,-73.98884902536795,New York
Law Enforcement-Suspicious Package,2016-03-01T17:40:16.000,2016-03-01T18:25:38.000,40.75029388356433,-73.99484248924925,Manhattan
Structural-Street Collapse,2016-02-29T07:05:01.000,2016-03-01T00:08:18.000,40.76543904101397,-73.98972234280792,Manhatan
Structural-Crane,2016-02-28T13:51:15.000,2016-02-29T08:04:30.000,40.76656184417745,-73.99234307046544,New York
HazMat-Chemical,2016-02-24T14:25:42.000,2016-02-24T15:17:59.000,40.759987793781185,-73.98779199440976,Manhattan
Rescue-High Angle,2016-02-23T14:02:53.000,2016-02-23T15:30:17.000,40.76435946632328,-73.98236545774344,Manhattan
Fire-Other,2016-02-20T01:26:16.000,2016-02-20T02:08:12.000,40.74965543628786,-73.99194771629157,Manhattan
Fire-Sensitive Location,2016-02-19T21:09:29.000,2016-02-19T23:20:46.000,40.75029388356433,-73.99484248924925,Manhattan
Rescue-Other,2016-02-16T11:10:04.000,2016-02-16T11:33:06.000,40.753850622002915,-73.9885510863261,Manhattan
Utility-Power Outage,2016-02-15T11:06:27.000,2016-02-15T12:17:18.000,40.756802943903644,-73.98084062812376,Manhattan
Utility-Power Outage,2016-02-15T10:04:23.000,2016-02-15T11:35:34.000,40.75210061030422,-73.97760446290987,Manhattan
Utility-Other,2016-02-15T08:21:00.000,2016-02-15T09:21:06.000,40.749299843554866,-73.98867457853186,Manhattan
Rescue-High Angle,2016-02-11T09:40:12.000,2016-02-11T11:09:42.000,40.754350726052415,-73.99858511732612,Manhattan
Fire-Other,2016-02-09T11:40:59.000,2016-02-09T12:07:06.000,40.756211668247786,-74.00096012578,Manhattan
Rescue-Technical,2016-02-06T14:43:18.000,2016-02-06T17:14:30.000,40.75300113842698,-73.9789359998109,Manhattan
Medical-Injured City Worker,2016-02-03T16:06:04.000,2016-02-03T18:39:47.000,40.751982530402685,-73.97731937056338,Manhttan
Utility-Manhole,2016-02-03T05:26:34.000,2016-02-03T08:35:04.000,40.76028865356808,-73.98015738905771,Manhattan
Fire-1st Alarm,2016-02-01T17:42:14.000,2016-02-01T18:48:20.000,40.75413330213349,-73.99938464555934,Staten Island
Fire-4th Alarm,2016-01-24T09:08:25.000,2016-01-24T15:31:39.000,40.764297099747324,-73.98836879391418,Manhattan
Fire-10-76 (Commercial High Rise Fire),2016-01-23T22:20:09.000,2016-01-24T00:28:55.000,40.75688718850774,-73.97631064107274,Manhattan
Utility-Manhole,2016-01-23T22:14:57.000,2016-01-24T02:51:35.000,40.762102687674776,-73.97880316809508,Manhattan
Fire-Other,2016-01-23T08:09:39.000,2016-01-23T08:43:19.000,40.751586756640236,-73.99794273045376,Manhattan
Transportation-Other,2016-01-19T17:28:41.000,2016-01-19T19:24:16.000,40.7515234868049,-73.99394730218468,Manhattan
HazMat-Other,2016-01-14T16:40:20.000,2016-01-15T11:24:44.000,40.752807692238676,-73.98932004881534,Manhattan
Law Enforcement-Other,2016-01-13T08:44:07.000,2016-01-13T13:08:02.000,40.751586756640236,-73.99794273045376,Manhattan
Transportation-Other,2016-01-11T15:41:14.000,2016-01-11T15:59:42.000,40.751007405593654,-73.99275630864051,Manhattan
Structural-Falling Debris,2016-01-10T23:37:29.000,2016-01-12T15:20:54.000,40.76267415284007,-73.98209516552761,Manhattan
Utility-Water Main,2016-01-08T18:53:23.000,2016-01-09T08:10:04.000,40.76198404843313,-73.97568794124159,Manhattan
Fire-1st Alarm,2016-01-06T21:26:44.000,2016-01-06T23:19:20.000,40.760454153915866,-73.98565495151979,Manhattan
HazMat-Other,2015-12-25T21:17:57.000,2015-12-26T05:24:36.000,40.760462805330675,-73.98952818546566,Manhattan
Transportation-Other,2015-12-25T08:50:22.000,2015-12-25T09:55:07.000,40.751586756640236,-73.99794273045376,Manhattan
Transportation-Train Subway,2015-12-21T09:01:10.000,2015-12-21T10:26:19.000,40.75155630386425,-73.9919838709133,Manhattan
Transportation-Train Ground Level,2015-12-16T09:15:05.000,2015-12-16T09:49:04.000,40.751586756640236,-73.99794273045376,Manhattan
Law Enforcement-Suspicious Package,2015-12-10T23:07:26.000,2015-12-10T23:52:35.000,40.767889069898864,-73.98151253285772,Manhattan
Fire-10-77 (Residential High Rise Fire),2015-12-06T10:39:50.000,2015-12-06T11:50:55.000,40.76098654903923,-73.98498703232607,Manhattan
Rescue-Confined Space,2015-12-03T18:52:39.000,2015-12-03T19:10:48.000,40.75660726370943,-73.97650204502506,Manhattan
Fire-10-77 (Residential High Rise Fire),2015-11-26T19:42:26.000,2015-11-26T21:43:09.000,40.75865439153233,-73.995116173606,Manhattan
Law Enforcement-Suspicious Package,2015-11-25T18:01:34.000,2015-11-25T19:13:22.000,40.75723226512758,-73.98979219054627,Manhattan
Utility-Water Main,2015-11-21T23:48:54.000,2015-11-22T23:12:34.000,40.752116662721754,-73.97555799934946,Manhattan
Fire-1st Alarm,2015-11-19T10:34:02.000,2015-11-19T10:45:14.000,40.75065868908125,-73.99087595619766,Manhattan
Rescue-Technical,2015-11-19T09:52:33.000,2015-11-19T11:01:09.000,40.76530554752538,-73.97746284306123,Manhattan
Rescue-High Angle,2015-11-18T14:31:01.000,2015-11-18T16:48:25.000,40.75080873414701,-73.98284545962457,Manhattan
Utility-Other,2015-11-16T14:59:36.000,2015-11-17T09:29:14.000,40.752116662721754,-73.97555799934946,Manhattan
Utility-Steam Service Line,2015-11-16T08:02:42.000,2015-11-16T18:32:15.000,40.752116662721754,-73.97555799934946,Manhattan
HazMat-Other,2015-11-13T09:09:58.000,2015-11-13T11:47:04.000,40.75086384879166,-73.98439018547748,Manhattan
Law Enforcement-Suspicious Package,2015-11-05T20:00:27.000,2015-11-05T20:49:06.000,40.76028865356808,-73.98015738905771,Manhattan
Fire-Manhole,2015-11-05T09:06:05.000,2015-11-05T20:54:41.000,40.76271244662136,-73.98126128039407,Manhattan
Structural-Collapse,2015-10-30T10:39:24.000,2017-04-05T19:30:34.000,40.75142369548083,-73.98379813957992,Manhattan
Structural-Collapse,2015-10-30T10:39:24.000,2015-11-06T12:33:38.000,40.75142369548083,-73.98379813957992,Manhattan
Structural-Collapse,2015-10-30T10:39:24.000,,40.75142369548083,-73.98379813957992,Manhattan
Structural-Scaffold,2015-10-12T02:14:36.000,2015-10-12T13:10:18.000,40.74980707852221,-73.9840800463329,Manhattan
Utility-Transformer,2015-10-05T22:09:14.000,2015-10-05T23:35:47.000,40.75334609348787,-73.98516817629256,Brooklyn
Administration-Planned Event,2015-10-02T14:43:15.000,2016-01-01T03:24:50.000,40.75580739224274,-73.98640311324542,Manhattan
Law Enforcement-Suspicious Package,2015-09-26T10:56:35.000,2015-09-26T11:23:52.000,40.75619207263062,-73.99056478174674,Manhattan
Rescue-High Angle,2015-09-25T11:34:58.000,2015-09-25T13:01:16.000,40.760713411969355,-73.97655474251816,Manhattan
Fire-10-77 (Residential High Rise Fire),2015-09-23T09:26:48.000,2015-09-23T10:36:38.000,40.765668016895916,-73.97831468229832,Manhattan
Utility-Manhole,2015-09-12T16:53:54.000,2015-09-12T18:35:02.000,40.74843751462451,-73.98456038049484,Manhattan
Fire-Manhole,2015-09-05T15:52:43.000,2015-09-06T06:42:21.000,40.75058679895807,-73.98569677742758,Manhattan
Medical-Other,2015-09-04T16:07:56.000,2015-09-04T17:32:44.000,40.75355378729873,-73.98504284774735,Manhattan
Transportation-Other,2015-09-04T09:04:01.000,2015-09-04T09:32:28.000,40.74956369094178,-73.99312459741589,Manhattan
Law Enforcement-Suspicious Package,2015-08-20T10:14:26.000,2015-08-20T11:08:30.000,40.750661146908584,-73.98777926681211,Manhattan
Transportation-Train Subway,2015-08-17T07:58:31.000,2015-08-17T09:07:25.000,40.74956369094178,-73.99312459741589,Manhattan
Fire-10-76 (Commercial High Rise Fire),2015-08-17T00:30:14.000,2015-08-17T01:35:57.000,40.752357755198645,-73.99177443584716,manhattan
Utility-Manhole,2015-08-14T12:08:28.000,2015-08-14T14:47:17.000,40.760353157863655,-73.99123199048147,Manhattan
Utility-Water Main,2015-07-30T14:39:41.000,2015-08-02T00:23:07.000,40.75943173066231,-73.97712191185279,Manhattan
Transportation-Other,2015-07-28T10:43:18.000,2015-07-28T11:30:00.000,40.75154558536983,-73.99793912248263,Manhattan
Transportation-Train Subway,2015-07-22T06:29:05.000,2015-07-22T08:10:33.000,40.75154558536983,-73.99793912248263,Manhattan
HazMat-High Carbon Monoxide,2015-07-21T12:06:46.000,2015-07-21T13:00:06.000,40.75210061030422,-73.97760446290987,Manhattan
HazMat-Fuel,2015-07-21T10:59:29.000,2015-07-21T13:28:46.000,40.75591446978022,-73.98668102129851,Manhattan
Law Enforcement-Device,2015-07-17T17:54:02.000,2015-07-17T18:55:50.000,40.7571028870217,-73.98619349526301,Manhattan
Fire-Manhole,2015-07-07T10:02:40.000,2015-07-07T12:33:13.000,40.75409245616915,-73.99207740961194,Manhattan
Utility-Manhole,2015-07-06T13:13:01.000,2015-07-06T14:47:28.000,40.76671453177147,-73.98287746335355,Manhattan
Law Enforcement-Device,2015-06-29T12:55:10.000,2015-06-29T13:49:35.000,40.75802176508665,-73.98179321024963,Manhattan
Utility-Manhole,2015-06-28T12:41:30.000,2015-06-28T14:49:18.000,40.74960324375985,-73.97950370878019,Manhattan
Utility-Water Main,2015-06-22T11:08:39.000,2015-06-23T07:52:12.000,40.75492711161724,-73.9978668293475,Manhattan
Structural-Scaffold,2015-06-18T18:24:15.000,2015-06-18T19:35:08.000,40.75298334152132,-73.98916481987223,Manhattan
Law Enforcement-Suspicious Package,2015-06-17T14:09:29.000,2015-06-17T15:08:11.000,40.75973013450904,-73.99168328325673,Manhattan
Utility-Water Service Line,2015-06-14T10:39:53.000,2015-06-15T00:19:46.000,40.76229393801512,-73.97445687774159,Manhattan
Utility-Manhole,2015-06-12T07:51:51.000,2015-06-13T10:30:04.000,40.75540563488532,-73.9794838761401,Manhattan
Law Enforcement-Device,2015-06-11T14:11:00.000,2015-06-11T15:32:47.000,40.76786998308247,-73.98231759655258,Manhattan
Law Enforcement-Other,2015-06-10T17:30:35.000,2015-06-10T19:04:09.000,40.76786998308247,-73.98231759655258,Manhattan
Fire-10-76 (Commercial High Rise Fire),2015-06-10T17:13:11.000,2015-06-10T18:37:07.000,40.757635320115384,-73.98580355106148,Manhattan
Transportation-Commercial Bus,2015-06-10T13:57:32.000,2015-06-10T14:30:14.000,40.76553005237262,-73.99767154972493,Manhattan
Transportation-Commuter Bus,2015-06-10T10:04:47.000,2015-06-10T14:16:07.000,40.75914579320872,-73.99840453274898,Manhattan
Law Enforcement-Suspicious Package,2015-06-07T15:32:21.000,2015-06-07T17:27:55.000,40.75826656948823,-73.98546772308859,Manhattan
Structural-Crane,2015-05-31T10:57:08.000,2015-06-08T19:07:03.000,40.750805654998295,-73.98073046770791,Manhattan
Law Enforcement-Suspicious Package,2015-05-30T15:10:25.000,2015-05-30T15:38:31.000,40.76490425976122,-73.99813725728247,Manhattan
Fire-3rd Alarm,2015-05-29T11:08:38.000,2015-05-29T14:55:10.000,40.760674545254794,-73.97448276692938,Manhattan
Law Enforcement-Suspicious Package,2015-05-22T09:18:01.000,2015-05-22T10:35:04.000,40.75241090883957,-73.97834787224372,Manhattan
Law Enforcement-Suspicious Package,2015-05-19T22:01:11.000,2015-05-19T22:51:38.000,40.75603526914547,-73.98694809910083,Manhattan
Structural-Other,2015-05-13T10:14:39.000,2015-05-13T13:21:26.000,40.75371597244855,-73.98706766241901,Manhattan
Rescue-High Angle,2015-05-08T10:08:07.000,2015-05-08T11:35:40.000,40.75535141826659,-73.98373221416911,Manhattan
Fire-Manhole,2015-05-06T10:26:22.000,2015-05-19T23:55:46.000,40.75304675837973,-73.99284992930166,Manhattan
Structural-Construction Accident,2015-05-05T12:51:55.000,2015-05-05T16:36:57.000,40.75997687200846,-73.98834428043294,Manhattan
HazMat-Other,2015-04-26T18:24:13.000,2015-04-26T20:01:58.000,40.758706146025034,-73.98927578749486,Manhattan
Utility-Gas Main Rupture,2015-04-15T02:11:14.000,2015-04-15T03:01:09.000,40.751182770826944,-73.9889882608122,Manhattan
Structural-Partial Collapse,2015-04-07T10:24:43.000,2015-04-07T13:03:04.000,40.75337440805603,-73.97884925757641,Manhattan
Fire-10-76 (Commercial High Rise Fire),2015-03-05T00:49:04.000,2015-03-05T02:16:42.000,40.76509776008871,-73.98209451398162,Manhattan
HazMat-High Carbon Monoxide,2015-03-04T15:30:27.000,2015-03-04T19:25:32.000,40.748965363939405,-73.9936118880456,Manhattan
Structural-Scaffold,2015-03-03T07:01:30.000,2015-03-03T14:37:58.000,40.76556091588598,-73.97801869698887,Manhattan
Structural-Scaffold,2015-02-26T19:05:25.000,2015-02-27T02:20:24.000,40.76463573493405,-73.97697933613658,Manhattan
Utility-Water Service Line,2015-02-21T19:51:50.000,2015-02-22T08:54:33.000,40.761735255932855,-73.98088252685874,Manhattan
Utility-Other,2015-02-12T17:56:48.000,2015-02-12T18:54:21.000,40.74907550864675,-73.97568182484197,Manhattan
Law Enforcement-Haz Mat,2015-02-09T13:22:40.000,2015-02-09T13:40:14.000,40.75352443654239,-73.9945354443925,manhattan
Fire-2nd Alarm,2015-02-04T18:11:27.000,2015-02-04T22:18:49.000,40.761250701460966,-73.99139792167998,Manhattan
Transportation-Train Ground Level,2015-01-28T19:13:23.000,2015-01-31T09:32:51.000,40.75309311532774,-73.97712302970886,Manhattan
Fire-10-76 (Commercial High Rise Fire),2015-01-25T15:07:05.000,2015-01-25T16:00:32.000,40.75257567157465,-73.9787664973167,Manhattan
Utility-Water Main,2015-01-23T21:15:00.000,2015-01-28T17:59:11.000,40.76431682291184,-73.9957835963077,New York
Transportation-Commuter Bus,2015-01-20T18:33:20.000,2015-01-20T19:16:14.000,40.75619207263062,-73.99056478174674,Manhattan
Utility-Water Main,2015-01-15T18:57:05.000,2015-01-16T03:28:36.000,40.76655328414748,-73.98843699095379,Manhattan
Fire-3rd Alarm,2015-01-13T02:38:35.000,2015-01-13T16:47:50.000,40.7515234868049,-73.99394730218468,Manhattan
HazMat-Liquid,2015-01-12T18:54:06.000,2015-01-12T19:54:16.000,40.75501786171021,-73.9755677631059,Manhattan
Transportation-Train Subway,2015-01-07T18:41:31.000,2015-01-07T18:59:44.000,40.74956369094178,-73.99312459741589,New York
Fire-Sensitive Location,2015-01-07T17:38:03.000,2015-01-07T19:33:34.000,40.74956369094178,-73.99312459741589,New York
Fire-High Rise,2015-01-05T10:06:23.000,2015-01-06T00:02:00.000,40.7597268253904,-73.98588612806314,Manhattan
Utility-Manhole,2014-12-30T13:13:51.000,2014-12-31T04:48:43.000,40.75940559173303,-73.9851028980573,New York
Rescue-Confined Space,2014-12-18T12:02:13.000,2014-12-18T16:04:44.000,40.75674633927553,-73.98865887434677,Manhattan
Fire-10-76 (Commercial High Rise Fire),2014-12-09T11:57:16.000,2014-12-09T12:38:04.000,40.75646390884813,-73.99196884228174,Manhattan
Fire-10-76 (Commercial High Rise Fire),2014-11-29T12:15:25.000,2014-11-29T13:58:01.000,40.756855833383554,-73.98597336511821,Manhattan
Structural-Scaffold,2014-11-24T05:28:38.000,2014-11-24T08:17:04.000,40.75468726056798,-73.98424130358133,Manhattan
Medical-Other,2014-11-17T18:32:14.000,2014-11-18T15:50:04.000,40.754130564374776,-73.9883344752512,Manhattan
Fire-1st Alarm,2014-11-07T18:19:57.000,2014-11-07T19:57:27.000,40.74956369094178,-73.99312459741589,Manhattan
Structural-Scaffold,2014-11-07T13:06:00.000,2014-11-07T16:37:04.000,40.751639282372,-73.97654710840233,Manhattan
Structural-Tunnel,2014-11-04T17:03:23.000,2014-11-04T19:35:31.000,40.75092355577311,-73.97855344800905,Brooklyn
Fire-10-76 (Commercial High Rise Fire),2014-11-02T03:24:48.000,2014-11-02T04:32:41.000,40.75043897321828,-73.98929516428778,manhattan
Utility-Water Main,2014-10-21T09:38:14.000,2014-10-22T16:41:14.000,40.74865476953572,-73.98809723443675,Manhattan
Law Enforcement-Other,2014-10-13T17:40:23.000,2014-10-14T08:08:35.000,40.75007145450351,-73.99206678844157,Brooklyn
Fire-10-76 (Commercial High Rise Fire),2014-10-10T12:10:18.000,2014-10-10T13:32:27.000,40.75043897321828,-73.98929516428778,Manhattan
Structural-Scaffold,2014-10-08T06:19:23.000,2014-10-08T14:23:46.000,40.75306554137136,-73.98774273246315,Manhattan
HazMat-Liquid,2014-10-03T16:18:19.000,2014-10-03T16:51:09.000,40.76552011210594,-73.98003670045068,Manhattan
Law Enforcement-Suspicious Package,2014-10-03T15:23:54.000,2014-10-03T16:25:20.000,40.75241090883957,-73.97834787224372,Manhattan
Structural-Falling Debris,2014-10-01T08:49:49.000,2014-10-01T12:02:15.000,40.760349732495555,-73.98471283716431,Manhattan
Law Enforcement-Suspicious Package,2014-09-29T18:12:54.000,2014-09-29T18:43:22.000,40.75580739224274,-73.98640311324542,New York/Manhattan
Administration-Planned Event,2014-09-29T12:36:10.000,2015-01-01T03:59:35.000,40.75580739224274,-73.98640311324542,Manhattan
Administration-Planned Event,2014-09-29T12:27:51.000,2014-12-04T06:55:08.000,40.75916322175986,-73.97965959187275,Manhattan
Administration-Planned Event,2014-09-29T12:15:58.000,2014-11-27T14:50:25.000,40.749401662336815,-73.99177480084738,Manhattan
Law Enforcement-Suspicious Package,2014-09-27T21:01:14.000,2014-09-27T21:23:27.000,40.7583922647852,-73.98153682640788,Manhattan
Law Enforcement-Suspicious Package,2014-09-25T12:49:10.000,2014-09-25T13:36:02.000,40.752190433881715,-73.99346359839568,Manhattan
Rescue-Confined Space,2014-09-25T06:35:40.000,2014-09-25T10:12:50.000,40.76786998308247,-73.98231759655258,Manhattan
Law Enforcement-Suspicious Package,2014-09-20T14:08:20.000,2014-11-02T12:38:31.000,40.75603135426773,-73.97902527873016,Manhattan
Law Enforcement-Suspicious Package,2014-09-01T14:54:01.000,2014-09-01T15:17:37.000,40.75031835873884,-73.9911105992578,Manhattan
Fire-10-76 (Commercial High Rise Fire),2014-08-21T23:29:18.000,2014-08-22T01:04:13.000,40.75960529226953,-73.98062685095606,Manhattan
Transportation-Commercial Bus,2014-08-05T15:32:24.000,2014-08-05T20:57:26.000,40.75919967237376,-73.98461925002194,New York
Law Enforcement-Suspicious Package,2014-08-05T10:28:21.000,2014-08-05T14:58:54.000,40.75919967237376,-73.98461925002194,Manhattan
Structural-Falling Debris,2014-07-31T09:00:56.000,2014-07-31T15:15:00.000,40.76353750133895,-73.97535165418176,Manhattan
Transportation-Train Subway,2014-07-29T09:16:47.000,2014-07-29T10:29:44.000,40.752190433881715,-73.99346359839568,Manhattan
Utility-Gas High Pressure,2014-07-29T08:00:09.000,2014-07-29T14:26:29.000,40.75723226512758,-73.98979219054627,manhattan
Transportation-Other,2014-07-23T20:47:25.000,2014-07-24T08:01:19.000,40.75029388356433,-73.99484248924925,Manhattan
Structural-Scaffold,2014-07-17T08:26:41.000,2014-07-17T14:37:25.000,40.75859400047415,-73.9949609641797,Manhattan
Fire-1st Alarm,2014-07-14T14:05:08.000,2014-11-02T12:39:41.000,40.756502917533695,-73.97627829213253,Manhattan
Fire-Explosion,2014-07-11T09:37:18.000,2014-07-11T10:40:09.000,40.757003578303234,-73.98252622484942,Manhattan
Utility-Transformer,2014-07-08T11:47:07.000,2014-07-08T14:23:55.000,40.764281209686665,-73.99858129643454,Manhattan
Transportation-Train Subway,2014-07-08T08:16:44.000,2014-07-08T09:46:31.000,40.75154558536983,-73.99793912248263,Manhattan
Fire-Haz Mat,2014-07-06T18:37:10.000,2014-07-06T20:30:03.000,40.751745721447406,-73.99242778629356,Manhattan
Law Enforcement-Haz Mat,2014-06-25T11:57:02.000,2014-07-01T18:42:46.000,40.75292862036141,-73.9912040931854,Manhattan
Law Enforcement-Suspicious Package,2014-06-23T12:41:45.000,2014-06-23T14:06:09.000,40.76187184888168,-73.97733044223443,Manhattan
Rescue-Other,2014-06-17T15:00:06.000,2014-06-17T15:44:01.000,40.75031835873884,-73.9911105992578,Manhattan
Fire-3rd Alarm,2014-06-06T21:03:59.000,2014-06-06T23:50:00.000,40.75767523479498,-73.97784082054257,Manhattan
Law Enforcement-Suspicious Package,2014-06-02T12:32:30.000,2014-06-17T14:02:24.000,40.75964371868246,-73.98062683977952,Manhattan
Law Enforcement-Suspicious Package,2014-05-29T09:31:23.000,2014-05-29T10:17:56.000,40.75561296320349,-73.99096190470391,Manhattan
Transportation-Other,2014-05-17T06:51:03.000,2014-05-17T12:24:26.000,40.75935111694214,-73.9888136464583,Manhattan
Fire-10-76 (Commercial High Rise Fire),2014-05-14T18:30:31.000,2014-05-14T19:02:28.000,40.755504435421194,-73.97942609439491,Manhattan
Utility-Power Outage,2014-05-01T09:01:20.000,2014-05-01T18:21:33.000,40.761376635086776,-73.98780256917861,Manhattan
Transportation-Disabled Train,2014-04-30T19:44:24.000,2014-04-30T21:42:40.000,40.7509907832196,-73.99062326583427,Manhattan
Utility-Water Main,2014-04-19T20:51:33.000,2014-04-20T15:04:20.000,40.755873019578694,-73.9844539822084,Manhattan
Structural-Construction Accident,2014-04-16T13:12:42.000,2014-04-16T16:35:02.000,40.76258228134002,-73.97512097786883,Manhattan
Structural-Construction Accident,2014-04-14T16:01:56.000,2014-04-14T18:16:24.000,40.75395821296935,-73.9976936104559,Manhattan
Structural-Construction Accident,2014-04-02T15:13:00.000,2014-04-02T19:21:20.000,40.76449110230899,-73.98165065394043,Manhattan
Fire-10-76 (Commercial High Rise),2014-03-24T22:23:08.000,2014-03-24T23:28:30.000,40.76028865356808,-73.98015738905771,Manhattan
Medical-EMS MCI (Multiple Casualty Incident),2014-03-15T17:57:10.000,2014-03-15T20:03:47.000,40.75808842859648,-73.98777068493943,Manhattan
Fire-Transformer Fire,2014-02-26T12:15:20.000,2014-02-26T15:17:19.000,40.7509907832196,-73.99062326583427,Manhattan
Transportation-Train Subway,2014-02-21T09:36:24.000,2014-02-21T10:31:40.000,40.74910250107202,-73.99200582083958,Manhattan
Transportation-Train Subway,2014-02-19T02:30:35.000,2014-02-20T07:04:17.000,40.752520497911625,-73.97730475021692,Manhattan
Fire-1st Alarm,2014-02-06T10:45:37.000,2014-02-06T12:45:48.000,40.76045664301875,-73.98373096728758,Manhattan
LawEnforcement-Suspicious Package,2014-02-06T09:20:52.000,2014-02-06T12:12:01.000,40.75758540271378,-73.98212540995675,Manhattan
Utility-Water Main,2014-02-05T02:51:51.000,2014-02-08T12:53:52.000,40.753481809552,-73.98088850486347,Manhattan
Fire-10-76 (Commercial High Rise),2014-02-02T14:52:15.000,2014-02-02T16:14:15.000,40.760604842280344,-73.98361180988199,Manhattan
LawEnforcement-Suspicious Package,2014-02-01T10:18:00.000,2014-02-12T13:31:28.000,40.76049245292024,-73.98466587795114,Manhattan
HazMat-White Powder,2014-01-31T10:41:01.000,2014-02-06T18:19:27.000,40.75964371868246,-73.98062683977952,Manhattan
Fire-Sensitive Location,2014-01-30T12:42:51.000,2014-01-30T15:03:49.000,40.75191937127813,-73.97716780302292,Manhattan
Fire-Sensitive Location,2014-01-29T13:31:54.000,2014-01-29T18:55:47.000,40.74927270445449,-73.99243528563095,Manhattan
Transportation-Train Subway,2014-01-28T22:37:30.000,2014-01-29T02:45:00.000,40.75029388356433,-73.99484248924925,Manhattan
LawEnforcement-Suspicious Package,2014-01-27T09:51:23.000,2014-01-27T11:25:34.000,40.75603526914547,-73.98694809910083,Manhattan
Utility-Dielectric Fluid Leak,2014-01-23T06:14:55.000,2014-01-27T10:59:02.000,40.76588127774139,-73.99463190105429,Manhattan
Utility-Manhole,2014-01-23T04:53:00.000,2014-01-24T10:40:56.000,40.750998830902596,-73.98855879487142,Manhattan
Administration-Planned Event,2014-01-16T19:20:23.000,2014-02-03T13:22:46.000,40.75940559173303,-73.9851028980573,Manhattan
Fire-10-77 (Residential High Rise),2014-01-10T09:46:33.000,2014-01-10T11:05:52.000,40.76118392173318,-73.98318571513919,Manhattan
Fire-Transformer,2014-01-06T14:32:07.000,2014-01-07T04:07:07.000,40.761301740734474,-73.98183563092057,Manhattan
Fire-3rd Alarm,2014-01-05T11:21:52.000,2014-01-06T13:44:10.000,40.760339663363844,-73.99509439172174,Manhattan
LawEnforcement-Suspicious Package,2014-01-04T20:26:12.000,2014-01-04T21:54:19.000,40.75628156188681,-73.98157350644406,Manhattan
Fire-1st Alarm,2014-01-03T20:56:45.000,2014-01-05T20:56:40.000,40.75998950931215,-73.98034879228643,Manhattan
Fire-10-76 (Commercial High Rise),2014-01-03T16:08:19.000,2014-01-03T17:16:10.000,40.75413979826889,-73.97680249424252,Manhattan
Structural-Sidewalk Shed,2014-01-02T01:17:40.000,2014-01-02T13:38:59.000,40.754537904813,-73.97739790740295,Manhattan
Fire-Transformer Inside Of Substation,2013-12-29T17:17:03.000,2013-12-29T19:26:30.000,40.76560411144699,-73.99591347497214,Manhattan
LawEnforcement-Suspicious Package,2013-12-26T13:35:36.000,2013-12-31T05:00:19.000,40.74958046625794,-73.97532433602198,Manhattan
Fire-1st Alarm,2013-12-25T18:18:25.000,2013-12-25T19:02:20.000,40.75545264592046,-73.98155568847133,Manhattan
Fire-Sensitive Location,2013-12-22T17:02:47.000,2013-12-23T05:09:46.000,40.756802943903644,-73.98084062812376,Manhattan
Other-Injured Worker,2013-12-19T11:15:18.000,2013-12-19T12:10:45.000,40.75826656948823,-73.98546772308859,Manhattan
Utility-Water Main,2013-12-18T15:20:21.000,2013-12-19T21:01:41.000,40.75198118954349,-73.98618011970804,Manhattan
LawEnforcement-Suspicious Vehicle,2013-12-17T15:03:06.000,2013-12-17T15:21:35.000,40.749794140295506,-73.99148602057147,Manhattan
Fire-10-76 (Commercial High Rise),2013-12-10T20:20:54.000,2013-12-10T21:34:50.000,40.75826656948823,-73.98546772308859,Manhattan
Structural-Crane,2013-11-24T12:56:10.000,2013-11-24T15:12:11.000,40.76520433298488,-73.97927869870011,Manhattan
Fire-10-77 (Residential High Rise),2013-11-21T13:21:39.000,2013-11-21T13:40:31.000,40.76638341044484,-73.9919676461232,Manhattan
Fire-10-76 (Commercial High Rise),2013-11-19T12:51:59.000,2013-11-19T13:31:07.000,40.74990314319433,-73.98406919591476,Manhattan
LawEnforcement-Suspicious Letter,2013-11-04T17:52:23.000,,40.75203296861111,-73.98337209764645,Manhattan
Structural-Scaffold,2013-11-01T10:24:45.000,2013-12-10T19:03:44.000,40.75444608418365,-73.98715053686865,Manhattan
Fire-2nd Alarm,2013-10-25T20:36:43.000,2013-10-25T22:40:10.000,40.75043897321828,-73.98929516428778,Manhattan
HazMat-Aerosol,2013-10-23T13:56:43.000,2013-10-23T15:43:14.000,40.754604178793926,-73.97953826410794,Manhattan
HazMat-Oil Spill,2013-10-22T08:39:30.000,2013-10-22T13:15:06.000,40.75246461944206,-73.98954387994742,Manhattan
LawEnforcement-Suspicious Package,2013-10-21T13:41:36.000,2013-10-21T14:53:48.000,40.75853318600073,-73.98884266079276,Manhattan
Fire-10-76 (Commercial High Rise),2013-10-06T20:48:06.000,2013-10-06T23:11:36.000,40.756997372165664,-73.97831028600011,Manhattan
LawEnforcement-Suspicious Package,2013-10-01T12:19:05.000,2013-10-01T13:25:56.000,40.76415216921121,-73.97464027130604,Manhattan
LawEnforcement-Suspicious Package,2013-09-21T16:54:42.000,2013-09-21T17:40:44.000,40.75664797758161,-73.97435797625883,Manhattan (Waldorf Astoria)
Structural-Crane,2013-09-18T11:00:05.000,2013-10-07T17:29:06.000,40.76520433298488,-73.97927869870011,Manhattan
HazMat-White Powder,2013-09-16T13:52:27.000,2013-09-16T17:13:14.000,40.76529811948032,-73.98205114026108,Manhattan
